epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.0040375718587562,0.6279943399131298,0.6386,0.76
2,0.6233702898025513,0.5642256122082472,0.766,0.774
3,0.5406322984755794,0.5000863131135702,0.7972,0.815
4,0.47801959325995624,0.43550267443060875,0.8244,0.838
5,0.4508248910873751,0.4124957509338856,0.8322,0.853
