epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.8940749613544609,0.5330502856522799,0.676,0.805
2,0.511813750184035,0.4581860061734915,0.8108,0.835
3,0.4387552492037604,0.4449707008898258,0.836,0.84
4,0.3900402033630806,0.37262733094394207,0.8542,0.862
5,0.354337191657175,0.3695216719061136,0.8704,0.867
