epoch,train_loss,train_acc,val_loss,val_acc
1,1.2937337239583333,0.6122222222222222,0.8074108610153198,0.78
2,0.6797424402236939,0.8096666666666666,0.613867889881134,0.825
3,0.5583761499722799,0.8393333333333334,0.532961290359497,0.846
4,0.49456610589557226,0.8574444444444445,0.501309362411499,0.854
5,0.4520477378103468,0.871,0.4825117335319519,0.853
