epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.9972793829591968,0.6464352607727051,0.6522,0.755
2,0.5950993065592609,0.5573459826409817,0.7818,0.785
3,0.5123326933082146,0.5183840859681368,0.8134,0.804
4,0.4779480439198168,0.49448483996093273,0.818,0.827
5,0.44458419640984714,0.498673053458333,0.8322,0.823
